"Dia","Estació","Nivell absolut (msnm)","Percentatge volum embassat (%)","Volum embassat (hm3)"
"28/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","529,06","94,6","23,09"
"28/01/2026","Embassament de Riudecanyes","219,49","99,9","5,32"
"28/01/2026","Embassament de la Llosa del Cavall (Navès)","803,51","90,9","65,07"
"28/01/2026","Embassament de Darnius Boadella (Darnius)","158,21","95,5","60,42"
"28/01/2026","Embassament de Foix (Castellet i la Gornal)","99,62","84,1","2,84"
"28/01/2026","Embassament de la Baells (Cercs)","627,77","92,8","100,85"
"28/01/2026","Embassament de Siurana (Cornudella de Montsant)","473,67","42,9","5,15"
"28/01/2026","Embassament de Sau (Vilanova de Sau)","423,41","94,7","157,04"
"28/01/2026","Embassament de Susqueda (Osor)","347,77","92,1","205,90"
"27/01/2026","Embassament de Riudecanyes","219,49","99,9","5,32"
"27/01/2026","Embassament de Foix (Castellet i la Gornal)","99,76","86,5","2,92"
"27/01/2026","Embassament de Darnius Boadella (Darnius)","158,43","96,7","61,23"
"27/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","528,89","93,6","22,85"
"27/01/2026","Embassament de Sau (Vilanova de Sau)","423,31","94,4","156,45"
"27/01/2026","Embassament de la Llosa del Cavall (Navès)","803,24","90,0","64,40"
"27/01/2026","Embassament de la Baells (Cercs)","627,47","91,8","99,81"
"27/01/2026","Embassament de Siurana (Cornudella de Montsant)","473,48","42,2","5,07"
"27/01/2026","Embassament de Susqueda (Osor)","347,77","92,1","205,93"
"26/01/2026","Embassament de la Baells (Cercs)","627,32","91,3","99,30"
"26/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","528,77","93,0","22,70"
"26/01/2026","Embassament de Darnius Boadella (Darnius)","158,58","97,6","61,75"
"26/01/2026","Embassament de Sau (Vilanova de Sau)","423,23","94,1","155,99"
"26/01/2026","Embassament de Riudecanyes","219,33","98,9","5,26"
"26/01/2026","Embassament de Foix (Castellet i la Gornal)","99,90","89,0","3,00"
"26/01/2026","Embassament de Siurana (Cornudella de Montsant)","473,27","41,5","4,98"
"26/01/2026","Embassament de Susqueda (Osor)","347,86","92,3","206,42"
"26/01/2026","Embassament de la Llosa del Cavall (Navès)","803,12","89,6","64,11"
"25/01/2026","Embassament de Susqueda (Osor)","348,28","93,3","208,68"
"25/01/2026","Embassament de Foix (Castellet i la Gornal)","99,91","89,1","3,00"
"25/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","528,64","92,3","22,52"
"25/01/2026","Embassament de la Baells (Cercs)","627,17","90,9","98,79"
"25/01/2026","Embassament de Darnius Boadella (Darnius)","158,43","96,7","61,23"
"25/01/2026","Embassament de Siurana (Cornudella de Montsant)","473,04","40,7","4,88"
"25/01/2026","Embassament de Riudecanyes","219,03","96,9","5,16"
"25/01/2026","Embassament de la Llosa del Cavall (Navès)","803,00","89,2","63,82"
"25/01/2026","Embassament de Sau (Vilanova de Sau)","422,78","92,5","153,31"
"24/01/2026","Embassament de Riudecanyes","218,65","94,5","5,03"
"24/01/2026","Embassament de Susqueda (Osor)","348,69","94,3","210,84"
"24/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","528,48","91,4","22,30"
"24/01/2026","Embassament de Siurana (Cornudella de Montsant)","472,77","39,8","4,78"
"24/01/2026","Embassament de la Llosa del Cavall (Navès)","802,86","88,7","63,47"
"24/01/2026","Embassament de la Baells (Cercs)","626,98","90,3","98,14"
"24/01/2026","Embassament de Darnius Boadella (Darnius)","158,20","95,4","60,39"
"24/01/2026","Embassament de Foix (Castellet i la Gornal)","99,68","85,1","2,87"
"24/01/2026","Embassament de Sau (Vilanova de Sau)","422,13","90,2","149,55"
"23/01/2026","Embassament de Susqueda (Osor)","348,98","95,2","212,89"
"23/01/2026","Embassament de Foix (Castellet i la Gornal)","99,53","82,6","2,78"
"23/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","528,35","90,6","22,12"
"23/01/2026","Embassament de Riudecanyes","218,27","92,0","4,90"
"23/01/2026","Embassament de la Llosa del Cavall (Navès)","802,70","88,2","63,08"
"23/01/2026","Embassament de Siurana (Cornudella de Montsant)","472,45","38,7","4,65"
"23/01/2026","Embassament de Darnius Boadella (Darnius)","158,07","94,6","59,90"
"23/01/2026","Embassament de la Baells (Cercs)","626,77","89,6","97,43"
"23/01/2026","Embassament de Sau (Vilanova de Sau)","421,74","88,9","147,33"
"22/01/2026","Embassament de la Baells (Cercs)","626,51","88,8","96,56"
"22/01/2026","Embassament de Riudecanyes","217,77","88,8","4,72"
"22/01/2026","Embassament de Siurana (Cornudella de Montsant)","472,02","37,3","4,48"
"22/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","528,21","89,9","21,93"
"22/01/2026","Embassament de Darnius Boadella (Darnius)","158,03","94,4","59,76"
"22/01/2026","Embassament de Sau (Vilanova de Sau)","422,89","92,9","153,97"
"22/01/2026","Embassament de Foix (Castellet i la Gornal)","99,65","84,6","2,85"
"22/01/2026","Embassament de Susqueda (Osor)","349,06","95,2","212,85"
"22/01/2026","Embassament de la Llosa del Cavall (Navès)","802,52","87,5","62,63"
"21/01/2026","Embassament de Susqueda (Osor)","348,44","93,7","209,49"
"21/01/2026","Embassament de Sau (Vilanova de Sau)","423,87","96,4","159,77"
"21/01/2026","Embassament de la Llosa del Cavall (Navès)","802,26","86,6","62,00"
"21/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","528,01","88,8","21,68"
"21/01/2026","Embassament de Foix (Castellet i la Gornal)","99,71","85,7","2,89"
"21/01/2026","Embassament de Siurana (Cornudella de Montsant)","471,26","34,9","4,20"
"21/01/2026","Embassament de la Baells (Cercs)","626,14","87,7","95,32"
"21/01/2026","Embassament de Darnius Boadella (Darnius)","157,90","93,7","59,30"
"21/01/2026","Embassament de Riudecanyes","216,90","83,1","4,42"
"20/01/2026","Embassament de Sau (Vilanova de Sau)","422,69","92,2","152,81"
"20/01/2026","Embassament de Darnius Boadella (Darnius)","156,88","88,0","55,71"
"20/01/2026","Embassament de la Llosa del Cavall (Navès)","801,89","85,4","61,12"
"20/01/2026","Embassament de Susqueda (Osor)","346,69","89,6","200,24"
"20/01/2026","Embassament de Riudecanyes","215,79","75,2","4,00"
"20/01/2026","Embassament de la Baells (Cercs)","625,66","86,2","93,73"
"20/01/2026","Embassament de Siurana (Cornudella de Montsant)","469,97","31,1","3,73"
"20/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","527,73","87,3","21,30"
"20/01/2026","Embassament de Foix (Castellet i la Gornal)","99,64","84,5","2,85"
"19/01/2026","Embassament de Darnius Boadella (Darnius)","156,14","84,0","53,19"
"19/01/2026","Embassament de Sau (Vilanova de Sau)","421,58","88,3","146,41"
"19/01/2026","Embassament de Riudecanyes","215,18","71,0","3,78"
"19/01/2026","Embassament de Foix (Castellet i la Gornal)","99,86","88,2","2,97"
"19/01/2026","Embassament de Susqueda (Osor)","345,78","87,4","195,52"
"19/01/2026","Embassament de la Baells (Cercs)","625,30","85,1","92,55"
"19/01/2026","Embassament de la Llosa del Cavall (Navès)","801,60","84,5","60,43"
"19/01/2026","Embassament de Sant Ponç (Clariana de Cardener)","527,50","86,1","21,01"
"19/01/2026","Embassament de Siurana (Cornudella de Montsant)","469,23","29,0","3,48"
"18/01/2026","Embassament de Foix (Castellet i la Gornal)","99,89","88,9","2,99"
"18/01/2026","Embassament de la Llosa del Cavall (Navès)","801,27","83,4","59,66"
"18/01/2026","Embassament de Darnius Boadella (Darnius)","156,22","84,5","53,46"
"18/01/2026","Embassament de Sau (Vilanova de Sau)","421,15","86,9","144,01"
"18/01/2026","Embassament de Riudecanyes","214,15","64,2","3,41"
